Codigo,Estacao,UF,jan1,jan2,jan3,fev1,fev2,fev3,mar1,mar2,mar3,abr1,abr2,abr3,mai1,mai2,mai3,jun1,jun2,jun3,jul1,jul2,jul3,ago1,ago2,ago3,set1,set2,set3,out1,out2,out3,nov1,nov2,nov3,dez1,dez2,dez3
82989,AGUA BRANCA,AL,8.3,17.0,23.2,NaN,NaN,NaN,21.3,28.7,34.4,27.7,24.6,27.7,41.4,51.3,38.8,54.4,57.6,47.5,50.3,62.6,55.4,38.0,32.4,24.8,21.0,21.9,7.9,8.1,17.9,9.4,10.1,5.1,13.0,5.5,17.8,16.5
83249,ALAGOINHAS,BA,13.0,25.3,17.5,21.0,22.4,16.7,16.5,19.2,29.2,34.2,39.0,48.2,49.6,51.3,56.5,49.9,53.6,40.8,37.0,36.9,36.4,31.7,33.7,26.2,26.1,21.8,18.5,16.3,19.0,16.0,19.0,17.5,23.7,21.8,20.8,10.6
82353,ALTAMIRA,PA,82.6,97.2,106.1,116.2,110.8,103.2,128.3,120.0,151.2,124.5,125.9,115.2,97.6,60.3,74.4,42.5,26.0,34.5,NaN,NaN,NaN,8.5,12.1,13.7,18.3,11.4,17.3,22.3,20.4,18.6,29.3,30.1,35.9,33.7,49.7,80.8
83007,ALTO DA BOA VISTA,RJ,86.3,66.8,75.6,64.7,76.7,36.4,86.9,84.5,80.7,87.1,55.8,58.2,58.7,67.4,54.7,57.5,43.0,51.0,56.4,62.1,61.3,47.8,44.4,58.3,61.9,65.5,92.1,72.6,46.4,75.7,76.6,100.8,61.6,76.4,84.3,76.1
82970,ALTO PARNAIBA,MA,63.0,79.3,88.7,69.7,76.4,49.6,71.1,86.8,83.7,56.8,43.3,28.2,21.5,11.2,8.0,2.1,0.2,0.0,0.0,0.4,0.0,0.0,0.6,1.5,3.1,1.8,9.2,20.7,18.0,36.2,45.5,50.5,65.9,51.7,61.3,68.5
83096,ARACAJU,SE,8.1,14.0,21.0,16.7,26.3,23.7,14.8,22.2,36.2,36.2,55.4,62.4,66.7,71.8,88.4,81.9,56.0,60.5,58.2,51.8,39.6,35.8,34.3,27.2,24.3,21.7,15.9,16.9,20.5,18.6,14.1,9.5,14.2,7.7,11.1,5.1
83442,ARACUAI,MG,30.7,44.0,35.1,35.1,22.2,22.0,36.6,29.5,27.8,15.1,10.5,2.3,4.5,9.2,3.1,2.0,0.9,0.6,1.1,2.0,0.8,1.1,0.7,2.9,2.0,1.3,8.0,8.8,10.8,33.3,48.8,53.6,46.9,59.8,53.0,40.3
83368,ARAGARCAS,GO,101.4,87.5,109.8,77.5,69.4,66.3,65.8,69.4,72.3,37.3,36.8,14.3,3.9,9.9,9.0,4.9,4.3,1.5,1.1,0.4,3.9,0.3,3.2,3.2,5.8,8.7,17.6,27.1,31.7,59.2,63.2,63.5,66.0,79.2,85.0,85.1
82659,ARAGUAINA,TO,76.8,76.7,105.6,94.1,101.8,76.8,77.2,108.9,107.4,75.7,73.0,62.5,43.8,26.0,24.8,17.2,2.0,2.5,4.1,2.6,1.7,0.4,2.9,7.8,7.7,14.1,29.9,35.3,31.0,54.0,62.8,77.1,66.1,64.1,69.1,78.5
83579,ARAXA,MG,103.0,85.2,105.7,102.2,69.7,55.3,79.4,66.6,60.7,38.0,26.9,15.8,14.5,13.4,20.6,10.9,3.0,3.2,0.5,2.3,4.3,3.2,3.5,5.1,14.9,17.7,28.0,39.2,33.8,45.0,59.1,65.1,86.1,91.1,92.6,95.7
82890,ARCOVERDE,PE,NaN,NaN,NaN,19.6,25.3,18.0,27.0,32.1,47.6,21.3,19.2,23.6,39.6,23.5,25.7,25.7,35.1,22.6,23.3,25.4,28.9,22.5,19.2,12.1,9.4,7.5,2.7,5.5,6.5,4.5,5.3,3.6,6.3,6.3,9.9,9.9
82696,AREIA,PB,19.7,25.8,35.9,30.6,45.1,26.8,35.9,44.7,61.6,37.1,64.3,50.6,61.0,46.7,59.1,59.4,72.0,65.2,NaN,NaN,NaN,47.9,39.2,36.8,25.8,26.0,7.5,7.8,12.7,7.1,7.9,10.4,5.7,8.2,12.1,22.5
83384,ARINOS,MG,65.6,60.8,56.7,59.5,49.6,31.8,66.6,61.6,50.5,31.3,21.3,12.6,6.4,5.8,3.7,1.5,0.7,0.7,0.0,0.1,0.1,0.0,1.2,3.7,2.4,1.1,8.2,17.7,16.0,33.4,65.5,51.7,83.4,85.4,80.3,68.9
83049,AVELAR (P.DO ALFERES),RJ,72.7,75.0,65.8,52.3,47.6,35.2,42.9,47.3,42.9,27.3,15.0,13.9,9.0,18.1,13.5,11.0,3.8,7.0,2.7,8.2,3.2,6.3,3.8,5.8,17.1,13.7,22.4,31.3,17.9,37.2,43.1,67.1,63.2,58.9,73.2,83.2
82460,BACABAL,MA,68.0,93.0,92.3,94.6,116.1,90.6,107.7,114.6,145.4,127.4,114.7,102.8,98.6,52.7,41.0,18.6,16.6,15.8,10.2,4.6,4.1,4.6,4.7,2.3,3.2,1.7,5.0,7.5,10.7,8.9,19.0,21.8,27.8,19.5,37.7,67.1
83980,BAGE,RS,50.9,44.4,42.0,47.2,44.0,37.9,41.9,30.7,41.3,40.8,67.4,65.0,41.9,41.6,46.9,43.9,44.8,36.0,37.5,43.8,46.7,33.3,32.9,45.1,42.7,52.1,37.8,59.0,65.5,48.1,41.9,45.2,29.8,37.6,36.1,48.6
82768,BALSAS,MA,69.7,76.8,80.3,62.6,79.0,40.0,54.6,65.7,65.8,44.5,44.6,29.7,22.1,15.5,12.4,3.1,0.8,0.8,1.0,0.6,0.0,0.0,0.1,1.3,4.0,2.1,11.6,19.2,24.2,40.6,43.8,45.1,62.9,46.1,58.1,67.2
83582,BAMBUI,MG,111.4,78.6,110.0,65.0,52.5,51.8,67.5,56.1,42.2,40.7,20.1,12.7,13.6,14.0,20.3,10.8,3.7,3.3,0.4,2.9,5.1,2.2,4.1,5.4,17.0,17.8,26.8,42.5,32.0,44.7,56.5,64.1,66.8,76.9,107.6,95.4
83689,BARBACENA,MG,103.8,86.9,88.3,58.0,50.9,43.6,56.8,64.9,59.8,31.2,19.9,13.7,11.9,15.7,11.5,9.7,4.3,4.4,1.9,4.9,3.7,4.2,6.6,5.8,18.8,16.6,27.7,35.9,31.7,55.4,64.0,68.4,83.2,72.6,95.9,99.5
82784,BARBALHA,CE,43.9,59.9,77.1,67.5,73.8,56.1,47.3,88.8,115.5,60.2,52.4,38.4,35.5,12.3,22.1,5.2,5.6,7.4,3.3,5.5,4.5,1.7,0.2,0.4,1.2,1.9,1.1,3.1,10.4,6.7,7.9,9.3,19.1,21.6,25.0,29.7
82113,BARCELOS,AM,48.1,52.2,64.3,63.0,60.0,70.0,80.4,71.3,106.3,95.1,123.2,110.3,112.8,94.5,104.5,95.6,79.5,67.9,61.9,68.9,55.3,45.4,39.7,41.6,34.3,25.9,41.1,25.2,38.7,31.4,51.6,46.0,36.6,39.2,58.3,62.6
83179,BARRA,BA,34.3,37.1,41.2,36.6,30.9,29.6,NaN,NaN,NaN,32.9,21.2,13.1,7.5,2.8,3.6,1.4,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,2.3,0.0,4.3,2.2,9.0,18.8,21.7,31.9,41.3,38.7,40.3,28.0
82571,BARRA DO CORDA,MA,44.5,59.4,69.0,62.8,80.5,50.5,69.6,78.0,80.6,65.9,49.1,38.1,28.6,23.9,22.3,6.0,4.8,3.4,2.2,3.7,2.6,2.8,1.0,3.3,4.0,1.4,7.6,6.7,9.8,16.8,27.6,20.4,30.7,23.4,34.9,55.7
83236,BARREIRAS,BA,49.8,57.5,64.8,56.3,46.8,32.0,45.2,52.2,54.9,22.0,28.9,20.2,6.1,6.0,6.2,2.4,0.2,0.2,0.0,0.0,0.5,0.1,0.2,0.3,3.7,1.3,5.1,10.4,18.7,28.2,48.0,48.1,72.9,52.6,71.1,63.3
82191,BELEM,PA,102.0,142.3,149.4,154.3,154.3,129.1,158.1,173.0,175.3,159.3,158.7,147.5,129.6,101.4,92.5,66.2,74.4,65.1,63.8,49.4,42.8,49.8,32.7,46.3,35.6,40.5,44.0,44.9,49.1,41.8,54.7,47.8,48.9,62.8,89.2,131.5
83587,BELO HORIZONTE,MG,117.3,106.3,107.4,68.6,58.6,50.4,73.1,67.0,57.4,42.7,22.8,16.8,9.1,7.6,11.4,6.7,2.3,2.5,0.8,1.8,2.9,3.4,1.9,5.4,7.9,10.7,30.6,33.5,30.7,45.9,66.8,81.6,87.6,99.4,121.9,117.8
82246,BELTERRA,PA,55.8,82.2,84.5,83.6,93.4,74.8,99.0,101.9,124.7,111.5,87.0,101.9,96.0,66.7,78.8,51.2,51.5,36.3,40.6,30.6,30.1,14.7,18.1,14.7,12.5,10.5,9.7,13.6,14.9,25.1,23.6,23.8,26.1,20.3,29.4,39.4
82410,BENJAMIN CONSTANT,AM,101.3,98.7,145.3,106.6,86.3,100.5,105.6,99.2,106.4,98.9,79.3,97.9,81.8,68.6,67.9,72.4,47.8,45.6,48.7,41.0,38.3,33.9,38.9,40.3,38.7,53.1,51.6,52.4,60.6,83.5,75.6,79.6,82.7,85.8,71.5,114.3
83557,BOA ESPERANCA,ES,38.8,49.9,37.5,42.2,27.6,21.9,49.9,42.2,37.8,39.3,33.3,14.9,14.6,13.4,17.2,14.4,12.3,15.5,10.9,18.9,12.3,7.0,19.2,11.5,7.5,11.6,18.9,19.0,17.0,48.5,65.7,72.2,77.0,71.5,64.2,53.5
82024,BOA VISTA,RR,12.1,8.2,8.8,12.3,10.9,8.2,7.3,14.9,17.0,38.6,41.4,69.7,102.5,114.1,130.7,119.5,113.0,103.2,94.3,105.9,107.9,72.0,85.5,63.2,38.5,31.8,27.8,27.1,18.8,22.6,18.6,26.1,30.6,10.9,15.7,32.1
83533,BOM DESPACHO,MG,82.5,73.7,93.5,63.0,57.9,41.9,68.1,52.7,31.2,23.6,18.1,9.7,7.4,16.3,14.3,10.5,3.3,1.8,0.1,1.6,3.6,2.9,1.7,4.7,11.1,11.8,25.9,26.7,30.2,47.3,64.3,80.9,68.8,88.4,106.7,92.6
83919,BOM JESUS,RS,58.2,58.0,62.5,55.6,61.3,47.7,37.4,39.4,44.9,36.1,33.1,42.6,27.0,42.6,49.3,38.3,46.4,50.2,63.4,59.6,49.3,49.2,33.5,43.2,43.5,62.1,60.4,60.5,65.1,62.5,48.5,43.6,46.0,47.6,47.5,61.9
83288,BOM JESUS DA LAPA,BA,34.0,39.1,44.8,41.0,31.0,24.1,38.1,31.1,41.8,31.2,15.9,6.7,3.5,4.6,3.5,1.6,0.4,0.4,0.3,0.1,0.0,0.0,0.5,0.4,1.8,1.3,7.8,8.3,15.2,24.1,38.5,47.0,49.4,65.5,56.5,46.2
82975,BOM JESUS DO PIAUI,PI,NaN,NaN,NaN,69.3,60.0,43.4,47.4,62.2,61.0,50.0,28.4,21.2,16.6,13.4,6.7,0.5,0.0,0.2,0.0,0.2,0.0,0.0,0.3,0.0,5.3,1.2,9.8,10.3,17.2,33.1,31.6,37.8,49.8,53.3,59.9,37.1
83377,BRASILIA,DF,71.3,58.9,75.9,71.3,54.1,54.0,83.4,70.8,71.8,65.1,47.0,33.1,9.0,8.6,9.3,1.9,0.9,0.5,0.1,0.6,0.8,0.1,5.2,11.0,7.2,7.4,22.4,37.5,35.8,68.4,76.1,89.4,87.6,80.8,75.1,85.2
